year,state,district,party,committee_type,ad_spending
2004,OH,4,dem,1,85999
2004,OH,4,rep,1,794151
2004,OH,4,rep,3,84
2004,OH,9,dem,1,17541
2004,OH,9,rep,1,70873
2004,OH,9,rep,3,433
2004,OH,10,dem,1,11335
2004,OH,10,rep,1,20516
2004,OH,10,rep,3,441
2004,OH,12,dem,1,1057
2004,OH,12,rep,1,9953
2004,OH,12,rep,3,42
2004,OH,14,dem,1,849286
2004,OH,14,rep,1,22010
2004,OH,14,rep,3,11512
2004,OH,16,dem,1,1300
2004,OH,16,rep,1,23451
2004,OK,1,dem,1,84631
2004,OK,1,rep,1,406333
2004,OK,1,rep,3,65
2004,OR,1,dem,1,1017919
2004,OR,1,dem,3,180
2004,OR,1,rep,1,412966
2004,OR,1,rep,3,59
2004,OR,1,rep,2,9300
2004,OR,4,dem,1,6201
2004,OR,4,rep,1,215010
2004,OR,5,dem,1,375
2004,OR,5,dem,5,178
2004,OR,5,rep,1,449134
2004,OR,5,rep,3,8668
2004,OR,5,rep,2,8482
2004,PA,3,dem,1,127954
2004,PA,3,rep,1,7930
2004,PA,4,dem,1,1007
2004,PA,4,rep,1,275
2004,PA,4,rep,3,59
2004,PA,6,dem,1,541705
2004,PA,6,dem,5,133
2004,PA,6,dem,3,5000
2004,PA,6,dem,2,1432496
2004,PA,6,rep,1,1183143
2004,PA,6,rep,3,16182
2004,PA,6,rep,2,1936999
2004,PA,8,dem,1,22446
2004,PA,8,dem,3,5000
2004,PA,8,dem,2,1418944
2004,PA,8,rep,1,22099
2004,PA,8,rep,3,9186
2004,PA,8,rep,2,2270296
2004,PA,13,dem,1,2826709
2004,PA,13,dem,5,178
2004,PA,13,dem,3,268110
2004,PA,13,dem,2,795643
2004,PA,13,rep,1,20371
2004,PA,13,rep,3,160098
2004,PA,13,rep,2,793956
2004,PA,15,dem,1,1203280
2004,PA,15,dem,3,5000
2004,PA,15,rep,1,63755
2004,PA,15,rep,3,3648
2004,PA,15,rep,2,56242
2004,PA,17,dem,1,883613
2004,PA,17,rep,1,23184
2004,PA,17,rep,3,59
2004,PA,17,rep,2,14924
2004,RI,1,dem,1,328644
2004,RI,1,rep,1,3454
2004,SD,1,dem,1,2882419
2004,SD,1,dem,5,178
2004,SD,1,dem,3,78285
2004,SD,1,dem,2,3453623
2004,SD,1,rep,1,1802883
2004,SD,1,rep,3,76297
2004,SD,1,rep,2,3204665
2004,TN,3,dem,1,69112
2004,TN,3,rep,1,4237
2004,TN,4,dem,1,427863
2004,TN,4,dem,2,58289
2004,TN,4,rep,1,103791
2004,TN,4,rep,3,246
2004,TN,6,dem,1,127720
2004,TN,6,rep,1,31752
2004,TX,1,dem,1,6387
2004,TX,1,dem,5,2681
2004,TX,1,dem,3,52
2004,TX,1,dem,2,534306
2004,TX,1,rep,1,1231858
2004,TX,1,rep,3,11353
2004,TX,1,rep,2,1381531
2004,TX,2,dem,1,528367
2004,TX,2,dem,2,1069169
2004,TX,2,rep,1,119694
2004,TX,2,rep,3,27038
2004,TX,2,rep,2,1868314
2004,TX,4,dem,1,31903
2004,TX,4,rep,1,954052
2004,TX,4,rep,3,111
2004,TX,5,dem,1,600
2004,TX,5,rep,1,133633
2004,TX,5,rep,3,52
2004,TX,6,dem,1,5300
2004,TX,6,rep,1,62355
2004,TX,6,rep,3,111
2004,TX,9,dem,1,140318
2004,TX,9,rep,1,5221
2004,TX,17,dem,1,4268
2004,TX,17,dem,5,20573
2004,TX,17,dem,3,52
2004,TX,17,dem,2,1490942
2004,TX,17,rep,1,1049171
2004,TX,17,rep,3,89591
2004,TX,17,rep,2,1692988
2004,TX,20,dem,1,4179
2004,TX,20,rep,1,834
2004,TX,22,dem,1,243220
2004,TX,22,dem,5,2805
2004,TX,22,dem,3,126712
2004,TX,22,rep,1,1134982
2004,TX,22,rep,3,2392
2004,TX,23,dem,1,2600
2004,TX,23,rep,1,98912
2004,TX,23,rep,3,3762
2004,TX,27,dem,1,185957
2004,TX,27,rep,1,6000
2004,TX,31,dem,1,8933
2004,TX,31,rep,1,20063
2004,TX,31,rep,3,52
2004,UT,1,dem,1,3822
2004,UT,1,rep,1,80803
2004,UT,2,dem,1,2708
2004,UT,2,dem,2,665836
2004,UT,2,rep,1,35883
2004,UT,2,rep,3,3002
2004,UT,2,rep,2,1002823
2004,VA,2,dem,1,95106
2004,VA,2,dem,3,5000
2004,VA,2,dem,2,334056
2004,VA,2,rep,1,594810
2004,VA,2,rep,3,7884
2004,VA,2,rep,2,544439
2004,VA,4,dem,1,354
2004,VA,4,rep,1,146930
2004,VA,8,dem,1,20338
2004,VA,8,dem,2,1350
2004,VA,8,rep,1,86395
2004,VA,8,rep,2,5576
2004,VA,9,dem,1,15371
2004,VA,9,rep,1,334964
