country,iso3c,year,gdp_per_capita,gdp_growth,population,inflation,unemployment,life_expectancy,region,income,lending
Spain,ESP,2019,29786.5245689007,1.96117850841711,47118501,0.699518994458739,14.104,83.8317073170732,Europe & Central Asia,4. High,Not classified
Sri Lanka,LKA,2019,4081.94772722003,-0.220483886831275,21803000,3.52839358231811,4.67,76.698,South Asia,2. Lower-middle,IDA
St. Kitts and Nevis,KNA,2019,23595.4923231291,2.93824658056356,46952,-0.329562063663977,NA,71.54,Latin America & Caribbean,4. High,IBRD
St. Lucia,LCA,2019,11794.0597229805,-0.700322396299441,177661,0.539087559191757,15.613,72.249,Latin America & Caribbean,3. Upper-middle,Blend
St. Martin (French part),MAF,2019,19033.0594854512,6.50000363700821,34267,NA,NA,80.078,Latin America & Caribbean,4. High,Not classified
St. Vincent and the Grenadines,VCT,2019,8740.59425232061,0.668428481084234,104167,0.91306972532459,19.235,70.994,Latin America & Caribbean,3. Upper-middle,Blend
Sudan,SDN,2019,709.975280761719,-2.17825104530091,45548175,50.9940515002965,11.658,65.803,Sub-Saharan Africa,1. Low,IDA
Suriname,SUR,2019,6629.66775248603,1.16758977233877,605768,NA,7.556,71.773,Latin America & Caribbean,3. Upper-middle,Blend
Sweden,SWE,2019,51773.0464558993,2.54964787203104,10278887,1.78415097403835,6.833,83.109756097561,Europe & Central Asia,4. High,Not classified
Switzerland,CHE,2019,84121.9310304414,1.14198218965691,8575280,0.362886179940614,4.394,83.9048780487805,Europe & Central Asia,4. High,Not classified
Syrian Arab Republic,SYR,2019,1109.53926036049,1.22070522070523,20353534,13.4175653228571,13.36,70.97,Middle East & North Africa,1. Low,IDA
Tajikistan,TJK,2019,871.022372934846,7.40000016310556,9529966,NA,11.419,70.962,Europe & Central Asia,2. Lower-middle,IDA
Tanzania,TZA,2019,1063.32250976563,5.79999999996723,59174891,3.4642805799902,2.496,66.007,Sub-Saharan Africa,2. Lower-middle,IDA
Thailand,THA,2019,7605.69657797759,2.11455779628278,71522271,0.706728601314311,0.716,77.197,East Asia & Pacific,3. Upper-middle,IBRD
Timor-Leste,TLS,2019,1562.36458068032,23.4120135843883,1300945,0.958812739703141,3.097,66.496,East Asia & Pacific,2. Lower-middle,Blend
